Order_ID,Customer_ID,Restaurant_ID,Order_Date,City,Order_Value,Payment_Method,Rating,Delivery_Time(min)
O1113,C388,R346,2023-02-24,Mumbai,399.2,UPI,5,18
O1114,C125,R201,2023-05-06,Delhi,474.09,Credit Card,2,34
O1115,C151,R346,2024-09-29,Hyderabad,426.56,Credit Card,5,22
O1116,C215,R334,2023-03-09,Mumbai,820.98,Debit Card,5,41
O1117,C272,R310,2023-01-10,Pune,550.56,Debit Card,3,50
O1118,C654,R237,2024-09-01,Mumbai,315.82,Debit Card,1,23
O1119,C230,R330,2024-09-28,Mumbai,734.44,Debit Card,2,57
O1120,C199,R301,2023-06-05,Mumbai,1323.47,UPI,2,38
O1121,C724,R294,2024-09-19,Chennai,898.77,Credit Card,3,51
O1122,C656,R291,2024-04-11,Mumbai,1329.67,Credit Card,3,55
O1123,C467,R270,2024-01-21,Hyderabad,374.22,Net Banking,1,54
O1124,C553,R223,2024-02-19,Chennai,333.76,Credit Card,4,44
O1125,C363,R267,2023-02-09,Delhi,905.81,Credit Card,2,40
O1126,C504,R327,2023-06-05,Mumbai,748.66,COD,5,18
O1127,C519,R292,2024-09-18,Bangalore,1024.24,COD,1,15
O1128,C421,R243,2023-12-31,Pune,1212.48,Net Banking,2,34
O1129,C833,R332,2024-02-28,Pune,1151.83,Debit Card,1,42
O1130,C116,R254,2023-01-07,Chennai,1419.17,Net Banking,4,59
O1131,C739,R228,2023-06-25,Pune,657.56,Net Banking,2,38
O1132,C200,R236,2023-09-08,Pune,388.94,UPI,5,42
O1133,C748,R314,2023-04-28,Chennai,871.28,Credit Card,2,42
O1134,C600,R202,2023-07-25,Pune,255.04,UPI,1,19
O1135,C789,R321,2024-09-15,Mumbai,504.39,Credit Card,4,46
O1136,C183,R242,2023-06-11,Delhi,391.04,Net Banking,1,44
O1137,C560,R206,2024-02-13,Chennai,655.19,Credit Card,1,35
O1138,C513,R324,2023-12-05,Bangalore,255.7,Debit Card,3,56
O1139,C680,R248,2024-09-07,Chennai,144.58,Debit Card,1,30
O1140,C542,R320,2023-09-14,Hyderabad,1019.51,Net Banking,4,22
O1141,C549,R272,2023-04-12,Bangalore,954.35,COD,5,26
O1142,C462,R240,2023-11-04,Hyderabad,1091.7,Debit Card,3,46
O1143,C361,R305,2024-09-12,Chennai,1024.54,Net Banking,1,39
O1144,C504,R276,2023-07-28,Hyderabad,260.01,UPI,2,17
O1145,C198,R326,2023-07-29,Bangalore,507.51,COD,3,40
O1146,C870,R290,2023-04-11,Mumbai,281.34,Debit Card,4,50
O1147,C686,R207,2023-05-15,Chennai,1280.16,Net Banking,2,31
O1148,C864,R231,2024-02-27,Chennai,1145.67,Net Banking,4,41
O1149,C289,R263,2024-02-08,Pune,382.14,UPI,2,36
O1150,C814,R337,2023-02-24,Chennai,577.83,UPI,5,59
O1151,C761,R212,2024-10-01,Chennai,1453.26,COD,4,52
O1152,C664,R292,2023-10-02,Mumbai,931.82,Debit Card,2,49
O1153,C612,R260,2023-09-16,Pune,1221.62,Net Banking,4,21
O1154,C365,R207,2023-03-14,Delhi,470.43,COD,3,17
O1155,C771,R228,2024-05-20,Hyderabad,394.07,COD,4,20
O1156,C515,R294,2024-10-09,Bangalore,1197.48,UPI,4,27
O1157,C170,R240,2024-01-05,Delhi,1060.22,Net Banking,2,29
O1158,C363,R348,2023-08-18,Pune,1053.37,Credit Card,4,40
O1159,C855,R210,2023-08-06,Mumbai,873.69,UPI,5,47
O1160,C795,R201,2023-01-27,Bangalore,889.01,Net Banking,1,29
O1161,C886,R330,2024-05-16,Hyderabad,1129.98,COD,3,53
O1162,C613,R279,2023-01-10,Chennai,478.0,COD,2,55
O1163,C305,R286,2023-03-25,Chennai,593.88,Debit Card,4,28
O1164,C234,R305,2023-12-25,Delhi,1320.29,Credit Card,4,33
O1165,C256,R338,2023-02-23,Hyderabad,532.41,UPI,4,42
O1166,C119,R216,2024-05-14,Pune,864.83,Debit Card,3,38
O1167,C423,R222,2023-06-21,Hyderabad,1083.7,Debit Card,1,55
O1168,C261,R247,2024-05-28,Mumbai,1499.89,Credit Card,5,47
O1169,C446,R219,2023-01-23,Delhi,709.41,UPI,5,26
O1170,C852,R201,2023-01-10,Delhi,699.33,UPI,2,24
O1171,C463,R287,2024-06-21,Mumbai,1279.62,COD,1,21
O1172,C811,R230,2024-01-17,Hyderabad,1227.7,UPI,1,15
O1173,C594,R329,2023-05-04,Mumbai,1123.51,Debit Card,3,29
O1174,C305,R277,2024-03-26,Bangalore,748.52,COD,4,15
O1175,C396,R203,2024-06-17,Mumbai,553.51,UPI,1,59
O1176,C178,R340,2023-02-28,Hyderabad,952.22,Credit Card,4,34
O1177,C381,R327,2023-05-30,Mumbai,1326.71,Debit Card,3,16
O1178,C664,R333,2023-09-14,Pune,1337.29,Net Banking,2,17
O1179,C172,R230,2023-07-04,Chennai,251.9,Credit Card,2,50
O1180,C268,R337,2024-03-09,Mumbai,699.69,Credit Card,4,30
O1181,C415,R220,2023-03-23,Chennai,750.61,UPI,4,43
O1182,C886,R222,2024-07-14,Mumbai,1468.66,COD,1,58
O1183,C740,R330,2023-08-09,Hyderabad,1049.2,COD,3,50
O1184,C699,R347,2023-12-30,Bangalore,670.14,Debit Card,2,58
O1185,C196,R228,2024-06-25,Bangalore,136.48,UPI,1,53
O1186,C739,R304,2024-06-08,Chennai,891.54,COD,5,17
O1187,C740,R251,2023-09-16,Hyderabad,234.51,Net Banking,1,51
O1188,C586,R314,2023-11-09,Hyderabad,1268.23,UPI,4,58
O1189,C890,R300,2023-04-05,Hyderabad,1153.53,UPI,5,26
O1190,C374,R283,2024-04-16,Pune,744.71,COD,1,34
O1191,C859,R260,2023-01-01,Delhi,700.9,Credit Card,3,37
O1192,C838,R324,2024-05-16,Mumbai,1356.27,UPI,2,36
O1193,C112,R270,2024-10-11,Hyderabad,503.84,Credit Card,5,46
O1194,C481,R269,2023-05-01,Hyderabad,448.63,Debit Card,3,21
O1195,C882,R338,2023-06-30,Hyderabad,1414.88,Debit Card,1,36
O1196,C185,R307,2023-10-28,Bangalore,1232.94,COD,4,58
O1197,C553,R220,2023-09-11,Hyderabad,1248.88,Debit Card,4,16
O1198,C882,R330,2023-09-07,Mumbai,373.27,COD,3,28
O1199,C559,R281,2024-08-02,Hyderabad,300.61,COD,4,30
O1200,C261,R287,2024-02-26,Mumbai,136.44,Credit Card,2,38
O1201,C578,R310,2024-03-30,Pune,431.86,Credit Card,3,21
O1202,C268,R209,2024-05-25,Delhi,1183.87,Debit Card,3,18
O1203,C529,R211,2023-12-22,Bangalore,436.05,Credit Card,4,51
O1204,C173,R206,2023-06-05,Mumbai,1120.74,UPI,3,55
O1205,C594,R344,2023-03-12,Chennai,452.67,Net Banking,1,19
O1206,C525,R313,2023-05-21,Pune,653.41,UPI,5,16
O1207,C704,R225,2024-05-16,Delhi,1476.43,UPI,5,19
O1208,C615,R214,2023-12-26,Delhi,442.74,COD,4,17
O1209,C554,R232,2024-05-28,Delhi,626.92,Net Banking,2,56
O1210,C671,R261,2023-11-03,Mumbai,521.52,COD,2,22
O1211,C217,R246,2023-03-16,Pune,253.47,Credit Card,4,40
O1212,C585,R294,2023-12-13,Hyderabad,785.85,Credit Card,4,24
O1213,C241,R234,2023-06-24,Chennai,630.17,Net Banking,3,48
O1214,C845,R275,2023-11-25,Pune,1072.84,Debit Card,2,50
O1215,C169,R322,2024-06-22,Pune,1244.63,Credit Card,5,26
O1216,C463,R282,2023-02-15,Pune,861.95,UPI,4,34
O1217,C676,R224,2023-01-13,Mumbai,145.07,Net Banking,5,43
O1218,C486,R256,2023-05-19,Chennai,966.49,Net Banking,5,28
O1219,C183,R231,2023-09-06,Mumbai,177.55,Credit Card,2,19
O1220,C558,R262,2023-06-18,Chennai,962.9,Credit Card,5,41
O1221,C629,R211,2024-04-04,Chennai,1059.04,COD,3,18
O1222,C680,R262,2023-10-08,Mumbai,376.87,COD,3,43
O1223,C413,R276,2023-06-11,Chennai,1247.08,UPI,2,17
O1224,C563,R291,2024-07-01,Pune,1375.52,Net Banking,3,47
O1225,C481,R200,2023-12-09,Mumbai,1238.32,Debit Card,4,44
O1226,C658,R269,2024-04-05,Chennai,527.15,Debit Card,2,50
O1227,C579,R335,2023-05-06,Delhi,921.3,Net Banking,5,23
O1228,C538,R332,2024-03-27,Mumbai,1380.74,UPI,4,15
O1229,C308,R285,2023-07-24,Bangalore,548.93,COD,2,37
O1230,C102,R238,2023-09-03,Mumbai,1248.04,COD,5,17
O1231,C243,R222,2024-09-10,Mumbai,113.27,COD,5,46
O1232,C198,R267,2023-07-15,Mumbai,105.11,Debit Card,5,38
O1233,C481,R203,2023-04-20,Chennai,1163.6,Debit Card,5,20
O1234,C597,R325,2024-09-03,Mumbai,1166.03,UPI,5,27
O1235,C272,R220,2023-10-20,Bangalore,1204.57,Debit Card,2,29
O1236,C857,R304,2023-06-13,Hyderabad,1402.04,Credit Card,3,44
O1237,C106,R265,2023-04-16,Mumbai,265.07,Debit Card,5,26
O1238,C729,R206,2023-12-22,Delhi,424.78,COD,4,54
O1239,C612,R248,2024-01-05,Bangalore,1365.21,UPI,2,49
O1240,C413,R215,2024-05-24,Hyderabad,348.13,Net Banking,1,42
O1241,C150,R344,2023-05-27,Chennai,1055.12,Net Banking,3,18
O1242,C613,R283,2024-05-07,Mumbai,842.65,UPI,4,21
O1243,C420,R286,2024-07-04,Hyderabad,216.47,Credit Card,5,57
O1244,C855,R297,2024-01-21,Delhi,499.37,Net Banking,2,30
O1245,C550,R274,2023-02-21,Bangalore,828.52,COD,2,36
O1246,C858,R233,2024-08-10,Bangalore,1293.29,Net Banking,5,59
O1247,C285,R225,2023-07-08,Chennai,1090.55,Net Banking,4,55
O1248,C697,R265,2024-05-20,Chennai,970.64,COD,2,39
O1249,C601,R324,2023-02-20,Chennai,794.45,Debit Card,3,17
O1250,C703,R262,2023-03-12,Hyderabad,518.16,Credit Card,4,36
O1251,C274,R286,2023-06-17,Mumbai,266.94,COD,5,45
O1252,C653,R240,2023-07-18,Pune,672.71,COD,4,51
O1253,C511,R297,2023-01-11,Bangalore,139.93,UPI,4,36
O1254,C707,R323,2023-10-09,Pune,395.48,Credit Card,1,41
O1255,C375,R278,2023-12-04,Bangalore,705.48,Debit Card,5,16
O1256,C824,R209,2023-10-12,Chennai,686.05,COD,3,36
O1257,C178,R214,2023-06-06,Mumbai,162.01,Debit Card,5,31
O1258,C758,R241,2023-12-22,Mumbai,924.68,COD,1,34
O1259,C803,R292,2023-01-02,Bangalore,869.56,COD,5,38
O1260,C771,R216,2024-03-13,Hyderabad,209.35,UPI,5,59
O1261,C524,R208,2024-07-28,Chennai,1420.43,Net Banking,3,45
O1262,C469,R313,2023-02-20,Mumbai,239.14,Credit Card,1,57
O1263,C893,R235,2023-07-26,Mumbai,1296.77,UPI,5,22
O1264,C292,R235,2024-07-31,Delhi,100.43,Debit Card,5,19
O1265,C553,R247,2023-12-22,Mumbai,1335.19,COD,2,16
O1266,C656,R250,2023-11-16,Delhi,127.61,COD,5,18
O1267,C677,R296,2024-07-04,Mumbai,1160.94,Credit Card,3,49
O1268,C267,R318,2024-05-11,Mumbai,606.37,UPI,2,48
O1269,C641,R294,2024-07-05,Hyderabad,1133.5,UPI,1,17
O1270,C772,R269,2024-09-01,Hyderabad,662.44,Debit Card,4,34
O1271,C148,R273,2023-01-10,Chennai,199.27,UPI,3,23
O1272,C835,R279,2023-02-23,Mumbai,1174.51,UPI,1,20
O1273,C124,R267,2023-03-21,Chennai,199.75,Net Banking,2,19
O1274,C396,R349,2024-04-25,Chennai,1390.97,Credit Card,4,55
O1275,C115,R276,2024-03-21,Chennai,171.36,UPI,1,52
O1276,C173,R315,2024-05-06,Chennai,771.06,Debit Card,3,49
O1277,C835,R205,2024-03-19,Bangalore,1112.25,COD,2,45
O1278,C396,R274,2024-09-07,Bangalore,650.55,UPI,3,27
O1279,C460,R287,2024-06-08,Mumbai,404.13,UPI,3,40
O1280,C274,R202,2023-12-04,Bangalore,1162.73,COD,2,36
O1281,C586,R251,2023-10-05,Mumbai,1198.01,Net Banking,5,46
O1282,C584,R273,2023-10-23,Hyderabad,1391.77,Credit Card,3,29
O1283,C413,R324,2023-09-23,Pune,626.63,Net Banking,2,25
O1284,C380,R264,2023-12-03,Delhi,808.75,Debit Card,3,30
O1285,C816,R251,2024-09-07,Bangalore,608.38,UPI,5,20
O1286,C416,R275,2023-11-21,Bangalore,459.91,Net Banking,2,25
O1287,C511,R341,2023-03-09,Hyderabad,1151.45,Credit Card,1,24
O1288,C333,R288,2023-04-19,Bangalore,575.51,Debit Card,1,30
O1289,C741,R271,2024-05-26,Mumbai,699.41,Net Banking,1,26
O1290,C431,R267,2023-07-08,Mumbai,665.14,UPI,4,21
O1291,C524,R337,2023-01-21,Pune,1097.73,Credit Card,3,53
O1292,C310,R314,2023-07-03,Pune,1384.91,UPI,3,41
O1293,C890,R256,2024-06-16,Pune,1033.46,UPI,2,38
O1294,C341,R265,2024-01-08,Mumbai,760.22,Debit Card,4,29
O1295,C727,R289,2024-03-31,Chennai,1190.89,Credit Card,3,20
O1296,C461,R249,2023-12-10,Chennai,997.36,COD,2,33
O1297,C268,R213,2023-10-14,Pune,184.85,UPI,5,22
O1298,C749,R215,2023-05-28,Pune,233.93,Credit Card,3,50
O1299,C381,R241,2023-10-24,Mumbai,153.08,UPI,3,27
O1300,C803,R309,2023-01-31,Hyderabad,739.54,Net Banking,5,47
O1301,C838,R221,2024-05-27,Bangalore,1256.19,Net Banking,5,46
O1302,C801,R267,2023-01-02,Delhi,538.32,Credit Card,3,42
O1303,C131,R218,2023-03-22,Chennai,637.82,Debit Card,5,54
O1304,C741,R265,2023-10-14,Chennai,1373.27,COD,2,24
O1305,C446,R272,2023-04-18,Mumbai,1271.66,Net Banking,3,47
O1306,C809,R346,2023-03-24,Mumbai,1031.07,Debit Card,3,15
O1307,C623,R343,2024-04-07,Delhi,473.53,COD,1,35
O1308,C783,R253,2024-08-13,Delhi,263.86,Net Banking,3,19
O1309,C513,R311,2023-10-21,Pune,122.48,COD,1,15
O1310,C542,R217,2023-10-23,Delhi,249.81,UPI,5,35
O1311,C217,R316,2023-01-26,Bangalore,509.64,Credit Card,5,39
O1312,C740,R284,2023-08-01,Bangalore,872.51,Net Banking,2,34
O1313,C453,R338,2023-08-01,Chennai,189.6,Net Banking,1,59
O1314,C513,R238,2024-07-02,Bangalore,290.72,UPI,3,23
O1315,C740,R304,2024-02-04,Bangalore,353.51,Net Banking,1,30
O1316,C586,R267,2023-04-24,Bangalore,984.77,Net Banking,5,42
O1317,C266,R224,2023-01-18,Pune,962.11,Net Banking,5,54
O1318,C584,R322,2024-07-15,Chennai,871.07,Net Banking,2,50
O1319,C440,R320,2024-06-08,Mumbai,450.7,Net Banking,5,53
O1320,C494,R260,2023-10-24,Chennai,619.57,Debit Card,1,38
O1321,C123,R299,2023-08-09,Chennai,235.37,Net Banking,3,30
O1322,C269,R250,2023-05-28,Chennai,417.04,UPI,3,28
O1323,C332,R297,2024-04-03,Delhi,1356.79,Net Banking,1,48
O1324,C686,R336,2024-08-24,Mumbai,1471.57,COD,2,38
O1325,C112,R201,2024-09-05,Delhi,1006.72,COD,3,25
O1326,C440,R204,2024-04-27,Pune,1383.55,UPI,1,59
O1327,C843,R285,2023-06-07,Pune,999.84,Debit Card,1,50
O1328,C193,R332,2024-09-25,Hyderabad,146.48,UPI,5,15
O1329,C525,R267,2023-06-09,Hyderabad,1495.47,Debit Card,5,26
O1330,C741,R208,2024-04-12,Pune,238.53,Credit Card,2,35
O1331,C860,R292,2023-10-03,Pune,1055.7,COD,2,23
O1332,C711,R349,2023-02-05,Delhi,453.97,COD,2,53
O1333,C694,R337,2023-05-27,Pune,648.77,COD,1,17
O1334,C777,R324,2023-07-01,Mumbai,1004.31,Debit Card,1,30
O1335,C475,R260,2024-04-02,Delhi,711.08,UPI,5,18
O1336,C757,R250,2024-09-11,Pune,450.76,Debit Card,3,40
O1337,C106,R209,2024-09-08,Delhi,568.22,COD,2,27
O1338,C844,R333,2023-02-15,Delhi,578.17,COD,4,34
O1339,C474,R261,2023-10-20,Bangalore,1443.05,COD,2,33
O1340,C558,R312,2023-08-16,Hyderabad,1218.06,COD,5,41
O1341,C312,R332,2023-08-24,Delhi,741.97,Credit Card,1,16
O1342,C707,R321,2024-05-21,Chennai,379.75,COD,5,24
O1343,C173,R322,2024-06-30,Delhi,1235.42,Debit Card,5,39
O1344,C809,R262,2023-09-23,Chennai,320.06,COD,5,33
O1345,C781,R310,2024-02-09,Bangalore,394.65,Net Banking,4,29
O1346,C278,R288,2023-07-21,Pune,612.42,Credit Card,4,53
O1347,C762,R250,2024-06-07,Delhi,1332.49,COD,2,38
O1348,C741,R331,2024-10-07,Bangalore,284.5,Net Banking,1,30
O1349,C619,R303,2024-03-13,Mumbai,271.13,Debit Card,5,31
O1350,C413,R322,2024-04-20,Bangalore,791.56,Credit Card,3,30
O1351,C327,R247,2023-01-17,Hyderabad,486.97,COD,2,32
O1352,C292,R231,2024-04-13,Hyderabad,896.22,Debit Card,2,18
O1353,C368,R319,2024-03-14,Pune,732.29,Net Banking,5,16
O1354,C829,R298,2023-10-25,Chennai,708.94,Credit Card,2,45
O1355,C173,R273,2024-04-11,Pune,256.76,COD,5,16
O1356,C781,R233,2023-02-13,Chennai,297.47,Debit Card,2,16
O1357,C391,R269,2024-07-14,Chennai,1249.51,Credit Card,1,29
O1358,C532,R309,2023-01-12,Chennai,1340.24,Net Banking,2,57
O1359,C746,R215,2023-07-13,Chennai,428.56,COD,2,43
O1360,C816,R258,2023-11-28,Hyderabad,258.84,Credit Card,3,48
O1361,C388,R218,2023-11-08,Hyderabad,174.78,Net Banking,1,54
O1362,C489,R294,2024-08-27,Delhi,951.62,Net Banking,1,46
O1363,C450,R312,2023-02-06,Hyderabad,1101.49,Debit Card,1,35
O1364,C113,R240,2024-02-25,Pune,621.93,Net Banking,2,44
O1365,C346,R280,2023-08-23,Hyderabad,1051.55,Net Banking,4,38
O1366,C486,R302,2023-10-18,Pune,1098.14,UPI,2,58
O1367,C446,R253,2024-05-23,Mumbai,1409.48,Net Banking,5,28
O1368,C695,R294,2023-08-22,Hyderabad,190.82,COD,3,42
O1369,C418,R346,2023-10-06,Pune,369.21,Credit Card,1,28
O1370,C511,R261,2023-04-08,Chennai,195.94,COD,5,58
O1371,C462,R298,2023-07-24,Bangalore,1315.19,COD,5,48
O1372,C704,R292,2023-02-16,Chennai,1209.62,Debit Card,4,28
O1373,C803,R264,2024-02-19,Delhi,904.5,UPI,1,39
O1374,C539,R267,2024-02-25,Pune,217.13,UPI,2,26
O1375,C742,R227,2023-07-09,Chennai,482.64,COD,1,55
O1376,C348,R217,2023-09-18,Hyderabad,516.81,Credit Card,3,54
O1377,C549,R225,2023-11-09,Hyderabad,885.04,UPI,1,34
O1378,C388,R303,2023-06-29,Mumbai,461.26,UPI,5,56
O1379,C450,R346,2024-10-05,Bangalore,202.14,COD,5,21
O1380,C699,R254,2024-07-22,Pune,1123.07,UPI,2,29
O1381,C815,R318,2023-04-10,Chennai,518.71,Debit Card,2,23
O1382,C199,R323,2024-03-07,Bangalore,733.32,COD,2,18
O1383,C620,R333,2023-01-08,Mumbai,278.73,UPI,3,45
O1384,C578,R328,2023-02-10,Delhi,1223.57,UPI,1,37
O1385,C198,R207,2024-08-26,Bangalore,891.74,UPI,4,20
O1386,C271,R250,2023-02-05,Mumbai,1362.22,COD,1,42
O1387,C362,R284,2023-10-13,Pune,793.66,Credit Card,2,26
